,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BARR CHERRYADE 6PK CANS,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.50,,,,2.300,,,0.20,,,-143,,,0,,8.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MARYLAND CHOC CHIP COOKIES,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-121,,,0,,12.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SCHWARTZ PAPRIKA,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.09,,,,1.890,,,0.20,,,-6,,,0,,9.57,,
,,,,,,,,E/S RICH TEA 300G,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-58,,,0,,20.00,,
,,,,,,,,E/S SMOKED RINDLESS BACON,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-192,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RIBENA PINEAPPLE & PASSION FRUIT,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-23,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REGINA,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.85,,,,1.650,,,0.20,,,-33,,,0,,10.81,,
,,,,,,,,BARR CREAM SODA,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-190,,,0,,28.99,,
,,,,,,,,WAGON WHEELS JAMMIE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-89,,,0,,13.42,,
,,,,,,,,SQUEEZE IT BLUE RASP,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.69,,,,0.880,,,0.82,,,-52,,,0,,48.22,,
,,,,,,,,KITKAT 3PK,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.85,,,,1.650,,,0.20,,,-32,,,0,,10.81,,
,,,,,,,,HARTLEYS JELLY RASPBERRY,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,0.90,,,,0.450,,,0.45,,,-15,,,0,,50.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DAIRYPAK,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-48,,,0,,14.39,,
,,,,,,,,7UP ZERO 500ML,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-31,,,0,,14.81,,
,,,,,,,,JACKS NEW POTATOES,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.09,,,,0.890,,,0.20,,,-2,,,0,,18.35,,
,,,,,,,,KP THAI CHILLI NUTS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-5,,,0,,14.81,,
,,,,,,,,BOBBYS GARLIC BREAD SNAX,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.25,,,,1.050,,,0.20,,,-12,,,0,,16.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KOKA BEEF 85G,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-3,,,0,,28.99,,
,,,,,,,,SCHWARTZ OREGANO,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.09,,,,1.890,,,0.20,,,-1,,,0,,9.57,,
,,,,,,,,FLORAL ORCHID,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-2,,,0,,11.83,,
,,,,,,,,CLAY OVEN LARGE PLAIN NAAN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.99,,,,1.590,,,0.40,,,-177,,,0,,20.10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JUCEE O.L.P,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.090,,,0.50,,,-18,,,0,,31.70,,
,,,,,,,,JACKS TOMATO SOUP,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.05,,,,0.850,,,0.20,,,-17,,,0,,19.05,,
,,,,,,,,RUBICON PINEAPPLE,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-45,,,0,,12.58,,
,,,,,,,,BOOST TROPICAL BERRY,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.89,,,,0.690,,,0.20,,,-66,,,0,,22.47,,
,,,,,,,,DRIED MIXED FRUIT,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-2,,,0,,11.43,,
,,,,,,,,MINI CHEDDARS CHEESE & RED ONION,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.25,,,,1.050,,,0.20,,,-38,,,0,,16.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MCVITIES JAFFA CAKES BAR 5PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.79,,,,1.590,,,0.20,,,-17,,,0,,11.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BULDAK HABANERO LIME,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.49,,,,2.000,,,0.49,,,-33,,,0,,19.68,,
,,,,,,,,FANTA APPLE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.89,,,,1.390,,,0.50,,,-20,,,0,,26.46,,
,,,,,,,,VOLVIC CHERRY S/F,,,,,,,,1.5L,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-80,,,0,,10.58,,
,,,,,,,,COCA COLA ZERO SUGAR 2 LITRE,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.29,,,,2.090,,,0.20,,,-118,,,0,,8.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GILLETTE BLUE 2 4PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-29,,,0,,6.69,,
,,,,,,,,POT NOODLE KING CURRY,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.09,,,,1.890,,,0.20,,,-37,,,0,,9.57,,
,,,,,,,,GREEN GIANT ORIGINAL.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.09,,,,0.890,,,0.20,,,-91,,,0,,18.35,,
,,,,,,,,SANPELLEGRINO LIMONATA,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-54,,,0,,14.39,,
,,,,,,,,LUCOZADE ENERGY WILD CHERRY,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.50,,,,1.300,,,0.20,,,-105,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PERSIL 3 IN 1 NON BIO CAPSULES.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,4.00,,,,4.750,,,-0.75,,,-77,,,0,,-18.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S 20 TEALIGHTS CANDLES.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.59,,,,2.190,,,0.40,,,-142,,,0,,15.44,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HEINZ VEGETABLE SOUP.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-70,,,0,,10.58,,
,,,,,,,,DETTOL LAUNDRY CLEANSER 20 WASHES,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.00,,,,1.790,,,1.21,,,-60,,,0,,40.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BARR CREAM SODA 6PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.69,,,,2.490,,,0.20,,,-2,,,0,,7.43,,
,,,,,,,,SUPER NOODLES CHOW MEIN,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-4,,,0,,10.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ROLO 4PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-4,,,0,,10.05,,
,,,,,,,,CHEETOS MAC N CHEESE CHEESY JALAPEN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.99,,,,3.790,,,0.20,,,-6,,,0,,5.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS VEGETABLE SOUP,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.05,,,,0.850,,,0.20,,,-3,,,0,,19.05,,
,,,,,,,,JACKS 4PK WHITE PETIT PAINS,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-3,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FLORA SUNFLOWER OIL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.50,,,,3.300,,,0.20,,,-1,,,0,,5.71,,
,,,,,,,,TAGO WAFER ROLLS SALTED CARAMEL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-5,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,COOLMORE SALTED CARAMEL,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-1,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BARR PINEAPPLE 2L,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-9,,,0,,14.39,,
,,,,,,,,COLGATE PLAX SOFT MINT MOUTHWASH,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-113,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LAFFY TAFFY MYSTERY,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.70,,,,0.500,,,0.20,,,-45,,,0,,28.57,,
,,,,,,,,EASY NON BIO 13 WASHES,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-6,,,0,,12.58,,
,,,,,,,,JACKS FRESH LINEN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.15,,,,0.950,,,0.20,,,-6,,,0,,17.39,,
,,,,,,,,GOLD CARAMEL LATTE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-20,,,0,,16.81,,
,,,,,,,,E/S WASHING UP LIQUID,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.75,,,,0.550,,,0.20,,,-42,,,0,,26.67,,
,,,,,,,,MCVITIES CLUB ORANGE 7PK,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-34,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ELOQUENCE 12PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,4.99,,,,2.600,,,2.39,,,-87,,,0,,47.94,,
,,,,,,,,FANTA ORANGE 2L,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.15,,,,1.950,,,0.20,,,-89,,,0,,9.30,,
,,,,,,,,PENGUIN 7PK,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-34,,,0,,13.42,,
,,,,,,,,JACSK CHICKEN SOUP,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.05,,,,0.850,,,0.20,,,-32,,,0,,19.05,,
,,,,,,,,ALBERTO BALSAM APPLE SHAMPOO,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-6,,,0,,14.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PEDIGREE JUMBONE CHICKEN LAMB 2PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.59,,,,1.790,,,0.80,,,-522,,,0,,30.89,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BORWICKS BAKING POWDER 100G,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-46,,,0,,20.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10 PENCILS & SHARPENER,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,1.090,,,0.40,,,-19,,,0,,26.85,,
,,,,,,,,SKITTLES CRAZY SOURS.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.75,,,,0.490,,,0.26,,,-425,,,0,,34.67,,
,,,,,,,,BATCHELORS SUPER NOODLES CHICKEN.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.45,,,,1.250,,,0.20,,,-284,,,0,,13.79,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ROBINSONS FRUIT CREATIONS PEACH RAS,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-90,,,0,,10.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RADOX FEEL AWAKE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.25,,,,1.050,,,0.20,,,-97,,,0,,16.00,,
,,,,,,,,COLMANS CHEDDAR CHEESE SAUCE.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.09,,,,0.890,,,0.20,,,-200,,,0,,18.35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS PROCESSED PEAS.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-100,,,0,,28.99,,
,,,,,,,,POWER PLUS 100W,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-1,,,0,,6.69,,
,,,,,,,,MIKE AND IKE ORANGE,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.50,,,,0.300,,,0.20,,,-71,,,0,,40.00,,
,,,,,,,,BARR LIMEADE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-412,,,0,,20.00,,
,,,,,,,,CIF ALL IN ONE,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,1.790,,,1.20,,,-17,,,0,,40.13,,
,,,,,,,,KELLOGGS NUTRIGRAIN STRAWBERRY,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.79,,,,0.590,,,0.20,,,-185,,,0,,25.32,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WRIGLEYS EXTRA W/MELON,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.85,,,,0.590,,,0.26,,,-220,,,0,,30.59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S CREAM CRACKERS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.25,,,,1.050,,,0.20,,,-76,,,0,,16.00,,
,,,,,,,,LAYS BARBECUE RIBS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,2.790,,,-0.80,,,-186,,,0,,-40.20,,
,,,,,,,,FAB,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.30,,,,0.690,,,0.61,,,-335,,,0,,46.92,,
,,,,,,,,MAXIM LIGHT BULB 60W SCREW,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.29,,,,1.490,,,0.80,,,-20,,,0,,34.93,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ENLIVEN DRY SHAMPOO TROPICAL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.99,,,,1.890,,,0.10,,,-11,,,0,,5.03,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,C/C GOLD HOT CHOCOLATE.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-30,,,0,,16.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PRINCES TUNA CHUNKS IN SPRING WATER.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-127,,,0,,12.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ELBOW GREASE WUL APPLE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-97,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HEINZ SPAGHETTI,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-35,,,0,,12.58,,
,,,,,,,,BODYFORM GOODNIGHT 8 ULTRA LARGE,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.690,,,-0.20,,,-99,,,0,,-13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,UNCLE BENS EGG FIRED RICE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-10,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ELMLEA SINGLE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.65,,,,1.450,,,0.20,,,-88,,,0,,12.12,,
,,,,,,,,ENCONA HOT PEPPER SAUCE.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-35,,,0,,16.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SOFT & GENTLE COTTON TOUCH,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-9,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HEINZ TOMATO KETCHUP 460G,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.35,,,,3.150,,,0.20,,,-210,,,0,,5.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PEPERAMI FIRESTICK,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.25,,,,1.050,,,0.20,,,-232,,,0,,16.00,,
,,,,,,,,SURF TROPICAL LILY 10 WASH.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-68,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,VIMTO SQUASH NO ADDED SUGAR,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.65,,,,1.450,,,0.20,,,-105,,,0,,12.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DORITOS NACHO CHEESE DIP,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-76,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S 40 TIE HANDLE FOOD&FREEZER BAGS MEDIUM,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.79,,,,1.590,,,0.20,,,-97,,,0,,11.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FUNKY SOUL GARLIC GRANULES.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.050,,,0.54,,,-49,,,0,,33.96,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MARYLAND MINI CHOC CHIP COOKIES 6PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.090,,,0.50,,,-147,,,0,,31.45,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS FUSILLI,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-2,,,0,,20.00,,
,,,,,,,,PRINCES PEACH SLICES WITH JUICE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-1,,,0,,12.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SAUSAGE ROLL,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-1,,,0,,14.39,,
,,,,,,,,CHOCOLATE OLD SCHOOL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.19,,,,1.990,,,0.20,,,-1,,,0,,9.13,,
,,,,,,,,RIBENA,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-10,,,0,,11.83,,
