,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DETTOL ANTIBAC WIPES 30 LARGE.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-228,,,0,,11.83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,POLYGRIP DENTURE FIXATIVE CREAM,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.29,,,,1.800,,,0.49,,,-274,,,0,,21.40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WIKINGER 8 HOT DOGS.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.99,,,,2.990,,,1.00,,,-176,,,0,,25.06,,
,,,,,,,,EXTRA STRONG PEGS,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.79,,,,1.090,,,0.70,,,-9,,,0,,39.11,,
,,,,,,,,CALPOL INFANT.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,4.99,,,,3.290,,,1.70,,,-283,,,0,,34.07,,
,,,,,,,,DURACELL AAA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,4.79,,,,4.590,,,0.20,,,-1,,,0,,4.18,,
,,,,,,,,JACK FAIRY CUPCAKES,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.55,,,,2.350,,,0.20,,,-2,,,0,,7.84,,
,,,,,,,,E/S KITCHEN TOWEL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-4,,,0,,12.58,,
,,,,,,,,TONYS CHOCOLATE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.25,,,,2.050,,,0.20,,,-6,,,0,,8.89,,
71093,,,,,,,,COLMANS MUSTARD 100G,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.79,,,,1.170,,,0.63,,,-134,,,0,,34.92,,
,,,,,,,,TETLEY ORIGINAL 40 TEA BAGS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.85,,,,1.650,,,0.20,,,-24,,,0,,10.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NANDOS PERINAISE MILD.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.79,,,,2.590,,,0.20,,,-14,,,0,,7.17,,
,,,,,,,,M&M BROWNIE,,,,,,,,350ML,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-11,,,0,,12.58,,
,,,,,,,,MIKE AND IKE LEMON,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,0.50,,,,0.300,,,0.20,,,-64,,,0,,40.00,,
,,,,,,,,BRANSTON BAKED BEANS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-125,,,0,,16.81,,
,,,,,,,,MARYLAND DOUBLE CHOC.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.290,,,0.30,,,-59,,,0,,18.87,,
,,,,,,,,BARR CHERRYADE,,,,,,,,500ml,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-220,,,0,,20.00,,
,,,,,,,,HARTLEYS RASPBERRY JAM,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-18,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ES LEMONADE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,0.40,,,,0.200,,,0.20,,,-56,,,0,,50.00,,
,,,,,,,,HEINZ SPAGHETTI,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.20,,,,2.000,,,0.20,,,-20,,,0,,9.09,,
,,,,,,,,MONSTER LEMONADE 4PK,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,5.49,,,,5.290,,,0.20,,,-16,,,0,,3.64,,
,,,,,,,,AERO PEPPERMINT 4PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.59,,,,1.500,,,1.09,,,-236,,,0,,42.12,,
,,,,,,,,MONSTER ENERGY W 4PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,4.50,,,,4.790,,,-0.29,,,-158,,,0,,-6.44,,
,,,,,,,,VIMTO SQUASH NO ADDED SUGAR,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.65,,,,1.450,,,0.20,,,-105,,,0,,12.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BAT PASTA N SAUCE CHICKEN & MUSHROOM,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.45,,,,1.250,,,0.20,,,-92,,,0,,13.79,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BRANSTON ORIGINAL PICKLE.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.29,,,,2.090,,,0.20,,,-12,,,0,,8.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HEINZ TOMATO KETCHUP 460G,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,3.35,,,,3.150,,,0.20,,,-210,,,0,,5.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S PEELED PLUM TOMATOES,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.85,,,,0.650,,,0.20,,,-59,,,0,,23.53,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WINDOLENE DIAMOND SHINE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-84,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NIVEA CASHMERE OIL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.00,,,,1.490,,,0.51,,,-2,,,0,,25.50,,
,,,,,,,,LOCAL LIVING CLING FILM,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.15,,,,0.950,,,0.20,,,-26,,,0,,17.39,,
,,,,,,,,COOKIE CRISP,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.25,,,,2.300,,,0.95,,,-31,,,0,,29.23,,
,,,,,,,,BARR TIZER,,,,,,,,500ML,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-98,,,0,,20.00,,
,,,,,,,,RED KOLA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-159,,,0,,28.99,,
,,,,,,,,DOMESTOS LIME TOILET BLOCK,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.50,,,,1.300,,,0.20,,,-30,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RUBICON ORANGE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-6,,,0,,15.50,,
,,,,,,,,BARR CHERRYADE 2L,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-10,,,0,,14.39,,
,,,,,,,,RIBENA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-10,,,0,,11.83,,
,,,,,,,,BOBBYS ONION RINGS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-25,,,0,,28.99,,
,,,,,,,,TAGO WAFER ROLLS SALTED CARAMEL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-5,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BRAIN LICKER,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-9,,,0,,13.42,,
,,,,,,,,MONSTER RIO 4PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,4.50,,,,4.300,,,0.20,,,-2,,,0,,4.44,,
,,,,,,,,KOKA CURRY NOODLES 5PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.99,,,,1.760,,,1.23,,,-1009,,,0,,41.20,,
,,,,,,,,WEETABIX 12PK,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-26,,,0,,11.83,,
,,,,,,,,REDBULL SF 4PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,5.75,,,,5.550,,,0.20,,,-1,,,0,,3.48,,
,,,,,,,,PRINGLES PIZZA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.99,,,,3.790,,,0.20,,,-2,,,0,,5.01,,
,,,,,,,,MOGU MOGU COTTON,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-4,,,0,,12.58,,
,,,,,,,,KELLOGG'S CORN FLAKES,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,3.49,,,,3.290,,,0.20,,,-2,,,0,,5.73,,
,,,,,,,,COLMANS PEPPER SUACE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.09,,,,0.890,,,0.20,,,-9,,,0,,18.35,,
,,,,,,,,MCCOYS CLASSIC 6PK.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.29,,,,1.290,,,1.00,,,-146,,,0,,43.67,,
,,,,,,,,COLGATE PLAX SOFT MINT MOUTHWASH,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-113,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PRIMULA DIP,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.190,,,0.30,,,-135,,,0,,20.13,,
,,,,,,,,BARNY MILK SOFT BAKED BEARS 5PK.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,0.800,,,0.69,,,-88,,,0,,46.31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LYNX BLACK BODYWASH,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.000,,,0.99,,,-16,,,0,,49.75,,
,,,,,,,,BARNY CHOCOLATE SOFT BAKED BEAR 5PK.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,0.800,,,0.69,,,-155,,,0,,46.31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS MUSHROOMS,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.29,,,,0.950,,,0.34,,,-542,,,0,,26.36,,
,,,,,,,,PEDIGREE JUMBONE CHICKEN LAMB 2PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.59,,,,1.790,,,0.80,,,-522,,,0,,30.89,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PRINCESS CHICKEN & HAM PASTE.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,0.490,,,1.10,,,-226,,,0,,69.18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MAC B STRAWBERRY & KIWI 1.5L,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.69,,,,1.190,,,0.50,,,-1130,,,0,,29.59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GOLD STAR SILVERSKIN ONIONS,,,,,,,,270G,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.89,,,,0.790,,,1.10,,,-474,,,0,,58.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,YEUNGS CURRY SAUCE MIX 220G,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.99,,,,1.400,,,0.59,,,-1288,,,0,,29.70,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DR BECKMANN STAIN DEVILS.,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-38,,,0,,16.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E/S CHOPPED TOMATOES.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-144,,,0,,28.99,,
,,,,,,,,PRINCES TUNA CHUNKS IN BRINE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-196,,,0,,12.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FOX'S PARTY RINGS 6PK.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,0.800,,,0.69,,,-154,,,0,,46.31,,
,,,,,,,,DAILY CROISSANT CHOCOLATE.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.79,,,,0.460,,,0.33,,,-1374,,,0,,41.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BATCHELORS CUPASOUP CHICKEN 4PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-145,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HELLMANN'S REAL MAYONNAISE 430ML,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-195,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ASTONISH MULTI-PURPOSE BLEACH,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,1.000,,,0.49,,,-55,,,0,,32.89,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LUCOZADE ORANGE 4PK,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.25,,,,3.050,,,0.20,,,-71,,,0,,6.15,,
,,,,,,,,JACK'S NICE BISCUITS.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.80,,,,0.650,,,0.15,,,-93,,,0,,18.75,,
,,,,,,,,VIMTO SPARKLING 8PK,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.75,,,,3.550,,,0.20,,,-126,,,0,,5.33,,
,,,,,,,,JACOBS CREAM CRACKERS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.79,,,,1.590,,,0.20,,,-108,,,0,,11.17,,
,,,,,,,,BAXTERS CRINKLED BEETROOT,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.79,,,,1.590,,,0.20,,,-35,,,0,,11.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,OXO BEEF 12,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.59,,,,2.390,,,0.20,,,-90,,,0,,7.72,,
,,,,,,,,TAMPAX COMPAK 18PK REGULAR,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.49,,,,3.290,,,0.20,,,-46,,,0,,5.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HARTLEYS STRAWBERRY SEEDLESS.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-28,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,COLMANS CHEDDAR CHEESE SAUCE.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.09,,,,0.890,,,0.20,,,-200,,,0,,18.35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BOLD ALL IN 1 LAVENDER.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,4.79,,,,4.590,,,0.20,,,-65,,,0,,4.18,,
,,,,,,,,BATCHELORS SLICED MUSHROOMS.,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-11,,,0,,14.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BARR PINEAPPLE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-139,,,0,,28.99,,
,,,,,,,,JACOBS BITES CHEDDAR AND ONION,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-41,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KERRS RASPBERRY FONDANT CUPS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.19,,,,1.790,,,0.40,,,-12,,,0,,18.26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER NITRO,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-46,,,0,,11.43,,
,,,,,,,,LYNX AFRICA,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,3.99,,,,3.790,,,0.20,,,-7,,,0,,5.01,,
,,,,,,,,ALEYNA JALAPENOS,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-30,,,0,,13.42,,
,,,,,,,,FLASH,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.75,,,,2.550,,,0.20,,,-27,,,0,,7.27,,
,,,,,,,,EURO SHOPPER MILD CHEESE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-82,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7 UP LPINK LEMONADE,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.75,,,,0.550,,,0.20,,,-73,,,0,,26.67,,
,,,,,,,,PG TIPS 80 TEABAGS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,3.29,,,,3.090,,,0.20,,,-16,,,0,,6.08,,
,,,,,,,,RIBENA BLACKCURRANT,,,,,,,,1l,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-70,,,0,,13.42,,
,,,,,,,,HUEL STRAWBERRY,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.800,,,0.19,,,-20,,,0,,6.35,,
,,,,,,,,BARR LEMONADE 500ML,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-67,,,0,,20.00,,
,,,,,,,,COMFORT FRESH SUNSHINY DAYS 31 WASH,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.39,,,,2.190,,,0.20,,,-36,,,0,,8.37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LOYD GROSSMAN TOMATO & CHILLI SAUCE,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-25,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MARYLAND CHUNKIES MILK & DARK CHOC,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,1.290,,,0.70,,,-52,,,0,,35.18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS SOFT FAMILY TISSUES,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-42,,,0,,14.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NESTLE CARNATION EVAPORATED MILK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-55,,,0,,12.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,COLMAN'S CHILLI CON CARNE,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.09,,,,0.890,,,0.20,,,-19,,,0,,18.35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IRN BRU XTRA,,,,,,,,330ML,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-1047,,,0,,28.99,,
,,,,,,,,QUAKER GOLDEN SYRUP,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-19,,,0,,15.50,,
,,,,,,,,MACKIES TABLET,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,3.49,,,,3.290,,,0.20,,,-7,,,0,,5.73,,
,,,,,,,,SURF PASSION BLOOM,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,3.99,,,,3.790,,,0.20,,,-48,,,0,,5.01,,
,,,,,,,,LAYS SALT & VINEGAR,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-74,,,0,,6.69,,
,,,,,,,,CHOCOLATE CHIP COOKIES,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.25,,,,2.050,,,0.20,,,-21,,,0,,8.89,,
,,,,,,,,TABLE SALT,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.05,,,,0.850,,,0.20,,,-46,,,0,,19.05,,
,,,,,,,,BUTTERKIST SWEET & SALTY,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-71,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MULLER CORNER STRAWBERRY,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.80,,,,0.600,,,0.20,,,-57,,,0,,25.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KENCO SMOOTH,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,5.85,,,,5.650,,,0.20,,,-7,,,0,,3.42,,
