Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS DOG BEEF,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.350,,,0.11,,,-2,,,0,,7.43,,
,,,,,,,,JACKS DOG BISCUITS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.89,,,,1.490,,,0.09,,,-32,,,0,,5.40,,
,,,,,,,,CHICKEN LEGS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.190,,,0.14,,,-2,,,0,,10.19,,
,,,,,,,,WINALOT GRAVY 12PK,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,4.49,,,,4.090,,,-0.35,,,-35,,,0,,-9.31,,
,,,,,,,,JACKS CAT POCKETS,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.19,,,,0.790,,,0.20,,,-66,,,0,,20.34,,
,,,,,,,,PEDIGREE POULTRY & RICE PUPPY.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.79,,,,0.530,,,0.96,,,-354,,,0,,64.34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WAGG BEEF DINNER ADULT COMPLETE.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.49,,,,1.890,,,0.19,,,-57,,,0,,8.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WHISKAS MIXED IN JELLY,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,5.59,,,,5.190,,,-0.53,,,-34,,,0,,-11.41,,
,,,,,,,,WAGG ADULT CHICKEN DINNER 100% COM.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.49,,,,1.890,,,0.19,,,-65,,,0,,8.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WHISKAS CHICKEN IN JELLY TIN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.79,,,,1.290,,,0.20,,,-52,,,0,,13.52,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PEDIGREE RODEO BEEF,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,0.600,,,0.64,,,-558,,,0,,51.68,,
,,,,,,,,FELIX GOODY BAG ORIGINAL,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.39,,,,0.990,,,0.17,,,-210,,,0,,14.53,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WINALOT 12PK,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,4.49,,,,4.090,,,-0.35,,,-41,,,0,,-9.31,,
,,,,,,,,FELIX MEATY IN JELLY,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,4.75,,,,4.350,,,-0.39,,,-44,,,0,,-9.89,,
,,,,,,,,METY STRIPES,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.190,,,0.14,,,-5,,,0,,10.19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,2,,,8,,,,3,,7,,,7,,,8,,,3,,,,38,,,,,71.66,,,,55.67,,,4.05,,,-2967,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,6.08,,,12.29,,,,7.67,,12.25,,,12.52,,,12.32,,,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,1-DOG FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BUTCHERS TRIPE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,1,,,,4,,,,,6,,,,7.80,,,,5.400,,,1.10,,,-288,,,0,,16.92,,
,,,,,,,,PEDIGREE SCHMACKOS 12PK,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,1,,,,0,,,,,2,,,,3.98,,,,2.400,,,0.92,,,-345,,,0,,27.64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BUTCHERS CHICKEN & TRIPE TRIPLE LOAF,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.30,,,,0.900,,,0.18,,,-229,,,0,,16.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BAKERS ALLSORTS,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.39,,,,0.990,,,0.17,,,-131,,,0,,14.53,,
,,,,,,,,PEDIGREE PUPPY LAMB & RICE,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.79,,,,0.530,,,0.96,,,-289,,,0,,64.34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1-DOG FOOD,,,,,,,,,,,,,0,,,3,,,,0,,0,,,2,,,2,,,4,,,,11,,,,,16.26,,,,10.22,,,3.33,,,-1282,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,4.48,,,,0.00,,0.00,,,3.29,,,3.29,,,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,2-CAT FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FELIX TUNA IN JELLY POUCH,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,3,,,,,3,,,,1.59,,,,0.870,,,0.46,,,-37,,,0,,34.34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FELIX GOODY BAG SEASIDE,,,,,,,,60g,,,0,,,,2,,,0,,0,,,0,,1,,,,0,,,,,3,,,,4.17,,,,2.970,,,0.51,,,-195,,,0,,14.53,,
,,,,,,,,GOCAT CHICKEN/ TURKEY.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,2,,,,,2,,,,3.50,,,,2.700,,,0.22,,,-72,,,0,,7.43,,
,,,,,,,,JACKS CAT CHICKEN IN JELLY,,,,,,,,,,,0,,,,2,,,0,,0,,,0,,0,,,,0,,,,,2,,,,2.18,,,,1.380,,,0.44,,,-6,,,0,,24.04,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS CAT SALMON IN JELLY,,,,,,,,,,,0,,,,2,,,0,,0,,,0,,0,,,,0,,,,,2,,,,2.18,,,,1.380,,,0.44,,,-13,,,0,,24.04,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DREAMIES CHICKEN.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.19,,,,1.890,,,-0.07,,,-184,,,0,,-3.56,,
,,,,,,,,WHISKAS TUNA 1+,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.79,,,,2.290,,,0.04,,,-55,,,0,,1.51,,
,,,,,,,,GOCAT CHICKEN AND DUCK.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.75,,,,1.350,,,0.11,,,-88,,,0,,7.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2-CAT FOOD,,,,,,,,,,,,,0,,,6,,,,0,,1,,,0,,,2,,,6,,,,15,,,,,20.35,,,,14.83,,,2.13,,,-650,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,7.14,,,,0.00,,2.19,,,0.00,,,3.14,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,3-PET SUPPLIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,THOMAS CAT LITTER,,,,,,,,5 LITRE,,,0,,,,0,,,1,,0,,,1,,0,,,,1,,,,,3,,,,12.57,,,,10.470,,,0.01,,,-39,,,0,,0.05,,
,,,,,,,,PEDIGREE CHICKEN IN GRAVY,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,0,,,,,2,,,,3.38,,,,1.780,,,1.04,,,-66,,,0,,36.80,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3-PET SUPPLIES,,,,,,,,,,,,,0,,,0,,,,1,,0,,,1,,,2,,,1,,,,5,,,,,15.95,,,,12.25,,,1.04,,,-105,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,0.00,,,,4.19,,0.00,,,4.19,,,3.38,,,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-PET FOOD,,,,,,,,,,,,,,,,,,2,,,17,,,,4,,8,,,10,,14,,,14,,,,,69,,,,,124.22,,,,92.97,,10.54,,,,-5004,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Department Value,,,,,,,,,,,,,,,,,6.08,,,23.91,,,,11.86,,14.44,,,20.00,,22.13,,,25.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-PET FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,6-BABY GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PAMPERS SENSITIVE BABY WIPES.,,,,,,,,,,,0,,,,1,,,1,,2,,,0,,0,,,,2,,,,,6,,,,7.74,,,,5.340,,,1.11,,,-601,,,0,,17.21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42015,,,,,,,,FARLEYS RUSKS ORIGINAL.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.39,,,,1.330,,,0.66,,,-211,,,0,,33.12,,
,,,,,,,,PAMPERS SIZE 5,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,6.49,,,,6.090,,,-0.68,,,-53,,,0,,-12.60,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,0,,,1,,,,2,,2,,,0,,,1,,,2,,,,8,,,,,16.62,,,,12.76,,,1.09,,,-865,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,1.29,,,,3.68,,2.58,,,0.00,,,6.49,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-BABY GOODS,,,,,,,,,,,,,,,,,,0,,,1,,,,2,,2,,,0,,1,,,2,,,,,8,,,,,16.62,,,,12.76,,1.09,,,,-865,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Department Value,,,,,,,,,,,,,,,,,0.00,,,1.29,,,,3.68,,2.58,,,0.00,,6.49,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-BABY GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,7-CONFECTIONERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EMERGE SPORT ORANGE,,,,,,,,,,,5,,,,5,,,10,,7,,,9,,10,,,,1,,,,,47,,,,32.90,,,,14.100,,,13.32,,,-4908,,,0,,48.57,,
,,,,,,,,MAOAM PINBALLS BLUE,,,,,,,,,,,4,,,,4,,,7,,3,,,5,,13,,,,0,,,,,36,,,,45.00,,,,30.600,,,6.90,,,-486,,,0,,18.40,,
,,,,,,,,COCA COLA ORIGINAL 1.75L,,,,,,,,,,,3,,,,7,,,2,,4,,,1,,11,,,,6,,,,,34,,,,84.66,,,,71.060,,,-0.51,,,-1590,,,0,,-0.72,,
,,,,,,,,COCA COLA ORIGINAL 500ML,,,,,,,,,,,5,,,,3,,,4,,7,,,2,,4,,,,3,,,,,28,,,,50.12,,,,38.920,,,2.85,,,-1256,,,0,,6.82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KINDER BUENO WHITE,,,,,,,,,,,0,,,,6,,,6,,5,,,8,,2,,,,0,,,,,27,,,,24.03,,,,13.230,,,6.80,,,-240,,,0,,33.93,,
,,,,,,,,GALAXY COUNTERS,,,,,,,,,,,1,,,,1,,,5,,2,,,2,,3,,,,5,,,,,19,,,,32.11,,,,24.510,,,2.25,,,-219,,,0,,8.40,,
,,,,,,,,EMERGE MIXED BERRY 500ML,,,,,,,,,,,0,,,,3,,,6,,6,,,2,,2,,,,0,,,,,19,,,,13.30,,,,5.700,,,5.38,,,-1128,,,0,,48.57,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SKITTLES FRUITS,,,,,,,,,,,1,,,,3,,,2,,3,,,3,,3,,,,4,,,,,19,,,,19.00,,,,11.400,,,4.43,,,-296,,,0,,28.00,,
78012,,,,,,,,WRIGLEY EXTRA COOL BREEZE,,,,,,,,10PCE,,,1,,,,5,,,3,,5,,,2,,3,,,,0,,,,,19,,,,16.15,,,,6.690,,,6.77,,,-9380,,,0,,50.31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALAXY SMOOTH MILK,,,,,,,,,,,0,,,,4,,,2,,3,,,1,,7,,,,0,,,,,17,,,,28.73,,,,21.930,,,2.01,,,-200,,,0,,8.40,,
,,,,,,,,PEPSI MAX 2 LITRE,,,,,,,,,,,0,,,,0,,,2,,5,,,2,,4,,,,4,,,,,17,,,,37.23,,,,30.430,,,0.60,,,-342,,,0,,1.92,,
,,,,,,,,CHOC BUTTONS,,,,,,,,,,,1,,,,2,,,4,,1,,,1,,6,,,,1,,,,,16,,,,29.60,,,,23.200,,,1.47,,,-294,,,0,,5.95,,
,,,,,,,,PINBALLS,,,,,,,,,,,1,,,,0,,,3,,4,,,0,,3,,,,5,,,,,16,,,,20.00,,,,13.600,,,3.07,,,-813,,,0,,18.40,,
,,,,,,,,CADBURY MINI EGGS BAG,,,,,,,,,,,1,,,,4,,,4,,1,,,2,,3,,,,0,,,,,15,,,,30.00,,,,23.850,,,1.15,,,-185,,,0,,4.60,,
,,,,,,,,CADBURY FUDGE,,,,,,,,,,,0,,,,2,,,3,,2,,,3,,5,,,,0,,,,,15,,,,5.85,,,,3.900,,,0.98,,,-301,,,0,,20.00,,
,,,,,,,,SOUR PATCH KIDS BLUE RASPBERRY,,,,,,,,,,,0,,,,0,,,0,,0,,,4,,6,,,,4,,,,,14,,,,21.00,,,,15.400,,,2.10,,,-480,,,0,,12.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,VIMTO SPARKLING CAN,,,,,,,,,,,0,,,,2,,,2,,1,,,1,,6,,,,2,,,,,14,,,,10.50,,,,4.900,,,3.85,,,-906,,,0,,44.00,,
,,,,,,,,EXTRA WHITE BUBBLEGUM,,,,,,,,,,,2,,,,3,,,0,,0,,,1,,6,,,,2,,,,,14,,,,13.30,,,,5.320,,,5.76,,,-4708,,,0,,52.00,,
,,,,,,,,CADBURY STARBAR DUO.,,,,,,,,,,,0,,,,2,,,3,,2,,,4,,3,,,,0,,,,,14,,,,18.06,,,,12.460,,,2.59,,,-540,,,0,,17.21,,
,,,,,,,,MALTESERS.,,,,,,,,,,,2,,,,2,,,1,,0,,,2,,4,,,,2,,,,,13,,,,9.75,,,,4.550,,,3.58,,,-546,,,0,,44.00,,
,,,,,,,,MALSTERSARS,,,,,,,,,,,2,,,,1,,,1,,2,,,1,,3,,,,3,,,,,13,,,,21.97,,,,16.770,,,1.54,,,-424,,,0,,8.40,,
,,,,,,,,GALAXY MINSTRELS,,,,,,,,,,,1,,,,1,,,2,,1,,,5,,3,,,,0,,,,,13,,,,21.97,,,,16.770,,,1.54,,,-222,,,0,,8.40,,
,,,,,,,,DAIRY MILK OREO,,,,,,,,,,,0,,,,3,,,3,,3,,,1,,3,,,,0,,,,,13,,,,25.35,,,,20.150,,,0.98,,,-159,,,0,,4.62,,
,,,,,,,,EMERGE SPORT CHERRY,,,,,,,,,,,1,,,,3,,,3,,3,,,2,,1,,,,0,,,,,13,,,,9.10,,,,3.900,,,3.68,,,-1690,,,0,,48.57,,
,,,,,,,,TAKIS FUEGO,,,,,,,,,,,0,,,,2,,,7,,3,,,1,,0,,,,0,,,,,13,,,,16.25,,,,11.050,,,2.49,,,-899,,,0,,18.40,,
,,,,,,,,HULA HOOPS BIG HOOPS BARBECUE BEEF,,,,,,,,,,,1,,,,3,,,2,,1,,,4,,0,,,,2,,,,,13,,,,17.55,,,,12.350,,,2.28,,,-271,,,0,,15.56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WALKERS SQUARES SALT & VINEGAR,,,,,,,,,,,1,,,,3,,,2,,0,,,3,,2,,,,2,,,,,13,,,,17.55,,,,12.350,,,2.28,,,-255,,,0,,15.56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NERDS ROPE VERY BERRY.,,,,,,,,,,,0,,,,0,,,2,,1,,,0,,0,,,,9,,,,,12,,,,19.08,,,,9.000,,,6.90,,,-349,,,0,,43.40,,
,,,,,,,,CARAMEL NIBBLES,,,,,,,,,,,0,,,,0,,,2,,2,,,0,,3,,,,5,,,,,12,,,,22.20,,,,17.400,,,1.10,,,-232,,,0,,5.95,,
,,,,,,,,GALAXY SMOOTH MILK.,,,,,,,,,,,1,,,,4,,,6,,1,,,0,,0,,,,0,,,,,12,,,,9.00,,,,4.200,,,3.30,,,-897,,,0,,44.00,,
,,,,,,,,GALAXY SMOOTH CARMEL,,,,,,,,,,,0,,,,0,,,4,,3,,,2,,1,,,,2,,,,,12,,,,10.68,,,,5.880,,,3.02,,,-963,,,0,,33.93,,
,,,,,,,,DORITOS CHILLI HEATWAVE 70G,,,,,,,,,,,1,,,,1,,,1,,0,,,5,,4,,,,0,,,,,12,,,,16.20,,,,11.400,,,2.10,,,-489,,,0,,15.56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DAIRY MILK,,,,,,,,,,,0,,,,3,,,1,,3,,,3,,1,,,,1,,,,,12,,,,23.40,,,,18.600,,,0.90,,,-222,,,0,,4.62,,
,,,,,,,,MONSTER ULTRA FIESTA MANGO,,,,,,,,,,,1,,,,3,,,2,,0,,,2,,3,,,,0,,,,,11,,,,18.15,,,,13.750,,,1.38,,,-250,,,0,,9.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MIKE AND IKE BERRY BLAST,,,,,,,,,,,1,,,,4,,,0,,0,,,2,,3,,,,1,,,,,11,,,,5.50,,,,1.100,,,3.48,,,-162,,,0,,76.00,,
,,,,,,,,KINDER CHOCOLATE,,,,,,,,,,,0,,,,1,,,2,,4,,,2,,1,,,,0,,,,,10,,,,5.00,,,,1.000,,,3.17,,,-611,,,0,,76.00,,
,,,,,,,,MILKYWAY CRISPY ROLLS,,,,,,,,,,,1,,,,2,,,2,,0,,,2,,3,,,,0,,,,,10,,,,6.90,,,,8.900,,,-3.15,,,-96,,,0,,-54.78,,
,,,,,,,,HARIBO MEGA-ROULETTE.,,,,,,,,,,,1,,,,1,,,1,,2,,,2,,0,,,,3,,,,,10,,,,7.00,,,,3.000,,,2.83,,,-1201,,,0,,48.57,,
,,,,,,,,PRINGLES ORIGINAL 70G,,,,,,,,,,,0,,,,1,,,2,,2,,,1,,3,,,,1,,,,,10,,,,12.50,,,,8.500,,,1.92,,,-906,,,0,,18.40,,
,,,,,,,,FLIPZ PRETZELS CHOC,,,,,,,,,,,1,,,,2,,,1,,1,,,0,,4,,,,1,,,,,10,,,,14.90,,,,10.900,,,1.52,,,-194,,,0,,12.21,,
,,,,,,,,PRINGLES HOT & SPICY,,,,,,,,,,,0,,,,1,,,3,,4,,,1,,1,,,,0,,,,,10,,,,12.50,,,,8.500,,,1.92,,,-981,,,0,,18.40,,
,,,,,,,,REESE'S 2 PEANUT BUTTER CUPS,,,,,,,,,,,1,,,,0,,,0,,1,,,5,,3,,,,0,,,,,10,,,,11.90,,,,6.500,,,3.42,,,-678,,,0,,34.45,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
