Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MOSTER MUNCG PURPLE,,,,,,,,,,,1,,,,0,,,1,,1,,,3,,0,,,,1,,,,,7,,,,9.45,,,,8.050,,,1.40,,,-177,,,0,,14.81,,
,,,,,,,,MONSTER THE DOCTOR,,,,,,,,,,,1,,,,0,,,1,,1,,,0,,3,,,,1,,,,,7,,,,12.25,,,,10.850,,,1.40,,,-394,,,0,,11.43,,
,,,,,,,,IRN BRU 250ML,,,,,,,,,,,0,,,,1,,,2,,1,,,2,,1,,,,0,,,,,7,,,,4.83,,,,3.430,,,1.40,,,-31,,,0,,28.99,,
,,,,,,,,VIMTO 2L,,,,,,,,,,,0,,,,2,,,1,,2,,,2,,0,,,,0,,,,,7,,,,11.83,,,,10.430,,,1.40,,,-16,,,0,,11.83,,
,,,,,,,,MONSTER PACIFIC PUNCH,,,,,,,,,,,0,,,,1,,,1,,2,,,1,,1,,,,1,,,,,7,,,,12.95,,,,11.550,,,1.40,,,-10,,,0,,10.81,,
,,,,,,,,DAIRY MILK BISCOFF,,,,,,,,,,,0,,,,2,,,1,,2,,,1,,1,,,,0,,,,,7,,,,13.65,,,,12.250,,,1.40,,,-114,,,0,,10.26,,
,,,,,,,,KINDER CHOCOLATE 8PK,,,,,,,,,,,1,,,,0,,,1,,1,,,3,,1,,,,0,,,,,7,,,,11.55,,,,10.150,,,1.40,,,-243,,,0,,12.12,,
,,,,,,,,TREBOR SOFTMINT,,,,,,,,44.9G,,,0,,,,1,,,1,,3,,,0,,2,,,,0,,,,,7,,,,4.83,,,,3.430,,,1.40,,,-520,,,0,,28.99,,
,,,,,,,,RUSTLERS CHEESEBURGER,,,,,,,,,,,0,,,,0,,,2,,3,,,1,,0,,,,0,,,,,6,,,,9.60,,,,8.400,,,1.20,,,-118,,,0,,12.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,B/S 4 HOT CROSS BUNS,,,,,,,,,,,0,,,,0,,,2,,2,,,1,,1,,,,0,,,,,6,,,,8.34,,,,6.060,,,2.28,,,-25,,,0,,27.34,,
,,,,,,,,TANGO ZERO D,,,,,,,,,,,0,,,,0,,,0,,1,,,1,,3,,,,1,,,,,6,,,,7.80,,,,6.600,,,1.20,,,-7,,,0,,15.38,,
,,,,,,,,OASIS SUMMER FRUIT,,,,,,,,,,,0,,,,3,,,1,,1,,,0,,1,,,,0,,,,,6,,,,8.40,,,,7.200,,,1.20,,,-319,,,0,,14.29,,
,,,,,,,,DORITOS FLAMIN HOT,,,,,,,,,,,1,,,,1,,,1,,1,,,2,,0,,,,0,,,,,6,,,,8.10,,,,6.900,,,1.20,,,-153,,,0,,14.81,,
,,,,,,,,REDBULL 4PK 473ML,,,,,,,,,,,1,,,,2,,,0,,0,,,1,,2,,,,0,,,,,6,,,,55.50,,,,54.300,,,1.20,,,-20,,,0,,2.16,,
,,,,,,,,WALKERS READY SALTED,,,,,,,,,,,2,,,,2,,,0,,1,,,1,,0,,,,0,,,,,6,,,,8.10,,,,6.900,,,1.20,,,-132,,,0,,14.81,,
,,,,,,,,BOOST RED,,,,,,,,,,,2,,,,0,,,0,,2,,,1,,1,,,,0,,,,,6,,,,5.34,,,,4.140,,,1.20,,,-168,,,0,,22.47,,
,,,,,,,,BULDAK CARBONARA,,,,,,,,,,,4,,,,0,,,0,,0,,,0,,0,,,,2,,,,,6,,,,11.94,,,,9.000,,,2.94,,,-45,,,0,,24.62,,
,,,,,,,,PEPERAMI HOT,,,,,,,,,,,0,,,,0,,,2,,3,,,0,,1,,,,0,,,,,6,,,,6.00,,,,6.300,,,-0.30,,,-284,,,0,,-5.00,,
,,,,,,,,BARR CHERRYADE,,,,,,,,500ml,,,2,,,,0,,,3,,1,,,0,,0,,,,0,,,,,6,,,,6.00,,,,4.800,,,1.20,,,-220,,,0,,20.00,,
,,,,,,,,BOOST,,,,,,,,,,,1,,,,0,,,0,,1,,,0,,4,,,,0,,,,,6,,,,6.00,,,,4.800,,,1.20,,,-134,,,0,,20.00,,
,,,,,,,,DIET COKE 8PK,,,,,,,,,,,0,,,,1,,,0,,2,,,1,,1,,,,1,,,,,6,,,,27.00,,,,25.800,,,1.20,,,-57,,,0,,4.44,,
,,,,,,,,REDBULL 473ML S/F,,,,,,,,,,,0,,,,0,,,1,,2,,,0,,3,,,,0,,,,,6,,,,15.90,,,,14.700,,,1.20,,,-28,,,0,,7.55,,
,,,,,,,,IRN BRU XTRA,,,,,,,,330ML,,,2,,,,3,,,0,,0,,,1,,0,,,,0,,,,,6,,,,3.38,,,,2.940,,,0.44,,,-1047,,,0,,13.02,,
,,,,,,,,PEPERAMI ORIGINAL,,,,,,,,,,,5,,,,0,,,0,,0,,,0,,1,,,,0,,,,,6,,,,6.25,,,,6.300,,,-0.05,,,-334,,,0,,-0.80,,
